Solicitation Number,Development Officer,Date of Solicitation,Month of Solicitation,Mode of Solicitation,Made Purchase?,Purchase ($),Legacy Customer?
24993,Sanchez,Jun-02,Jun,email,NO,,Not Legacy
24998,Lydon,Jan-23,Jan,email,YES,"$2,500",Not Legacy
25007,Nguyen,Feb-12,Feb,email,NO,,Not Legacy
25011,Lydon,Aug-18,Aug,Meeting,YES,"$1,250",Not Legacy
25012,Sanchez,Oct-30,Oct,email,NO,,Not Legacy
25018,Lydon,Nov-04,Nov,Telephone,NO,,Not Legacy
25021,Lydon,Apr-12,Apr,Meeting,NO,,Not Legacy
25023,Nguyen,Oct-16,Oct,Telephone,NO,,Legacy
25025,Sanchez,Mar-30,Mar,Meeting,NO,,Not Legacy
25026,Lydon,Jan-19,Jan,Telephone,YES,"$5,000",Not Legacy
25035,Lydon,Dec-03,Dec,email,NO,,Not Legacy
25038,Sanchez,Nov-27,Nov,Meeting,NO,,Not Legacy
25043,Shalley,Mar-14,Mar,email,NO,,Not Legacy
25052,Lydon,Jan-29,Jan,email,NO,,Not Legacy
25058,Lydon,Nov-07,Nov,Telephone,NO,,Not Legacy
25058,Shalley,Feb-14,Feb,Meeting,NO,,Not Legacy
25060,Lydon,Mar-06,Mar,email,NO,,Not Legacy
25068,Lydon,Nov-19,Nov,Telephone,YES,$250,Not Legacy
25075,Lydon,Jan-29,Jan,Telephone,NO,,Not Legacy
25077,Lydon,Jan-09,Jan,email,NO,,Not Legacy
25077,Sanchez,Aug-22,Aug,Meeting,NO,,Not Legacy
25077,Lydon,Jul-24,Jul,email,NO,,Not Legacy
25077,Lydon,Aug-15,Aug,Meeting,YES,$500,Not Legacy
25084,Shalley,Jul-03,Jul,email,NO,,Not Legacy
25090,Lydon,Dec-27,Dec,email,NO,,Not Legacy
25098,Lydon,Feb-13,Feb,email,NO,,Not Legacy
25104,Shalley,Nov-11,Nov,email,NO,,Not Legacy
25113,Shalley,Aug-07,Aug,Meeting,NO,,Not Legacy
25118,Lydon,Aug-06,Aug,email,NO,,Not Legacy
25118,Sanchez,Sep-07,Sep,email,NO,,Not Legacy
25120,Lydon,Dec-24,Dec,email,YES,$100,Not Legacy
25121,Lydon,Nov-07,Nov,Meeting,YES,$250,Not Legacy
25123,Lydon,Oct-01,Oct,email,NO,,Not Legacy
25129,Shalley,Jan-23,Jan,Meeting,NO,,Not Legacy
25137,Lydon,Nov-26,Nov,Meeting,YES,"$1,000",Not Legacy
25144,Lydon,Jun-13,Jun,Telephone,NO,,Not Legacy
25152,Nguyen,Oct-03,Oct,Meeting,NO,,Legacy
25153,Lydon,Aug-15,Aug,Meeting,NO,,Not Legacy
25156,Lydon,Feb-14,Feb,Meeting,NO,,Not Legacy
25163,Nguyen,Jul-08,Jul,email,NO,,Not Legacy
25165,Lydon,Feb-14,Feb,Telephone,NO,,Not Legacy
25175,Lydon,Dec-23,Dec,email,NO,,Not Legacy
25178,Lydon,Jan-30,Jan,email,NO,,Not Legacy
25182,Shalley,Feb-26,Feb,Meeting,NO,,Legacy
25190,Sanchez,Jan-05,Jan,Meeting,YES,"$1,500",Not Legacy
25197,Nguyen,Apr-22,Apr,Meeting,NO,,Not Legacy
25202,Lydon,Oct-17,Oct,email,NO,,Not Legacy
25206,Shalley,Jul-13,Jul,Meeting,NO,,Not Legacy
25215,Sanchez,Apr-19,Apr,Telephone,NO,,Not Legacy
25223,Lydon,May-11,May,Meeting,YES,"$2,500",Not Legacy
