sender,receiver,amount,timestamp,transaction_type,location,device_type,is_foreign_transaction,time_of_day,risk_score
U623,U59,3610.17,2025-01-01,wire_transfer,US,ATM,0,5,0
U2111,U902,2617.73,2025-01-01,wire_transfer,UK,mobile,0,6,0
U2503,U1892,2766.8,2025-01-01,cash_deposit,Dubai,mobile,1,13,0
U2872,U1182,436.66,2025-01-01,online_payment,India,desktop,0,7,0
U2859,U175,1263.44,2025-01-01,online_payment,Germany,mobile,1,3,0
U27,U742,3958.51,2025-01-01,crypto,India,ATM,1,20,0
U6,U1655,1402.51,2025-01-01,wire_transfer,Switzerland,ATM,1,22,0
U2267,U874,2300.57,2025-01-01,wire_transfer,Germany,mobile,0,12,0
U2080,U304,1773.14,2025-01-01,crypto,Cayman Islands,ATM,1,16,0
U462,U2637,3694.84,2025-01-01,wire_transfer,US,mobile,1,5,0
U2002,U168,669.72,2025-01-01,online_payment,UK,mobile,0,12,0
U147,U2781,1713.57,2025-01-01,online_payment,UK,desktop,0,8,0
U1280,U2254,263.03,2025-01-01,online_payment,India,mobile,1,10,0
U2094,U750,2343.73,2025-01-01,crypto,UK,mobile,1,5,0
U2294,U1909,2633.3,2025-01-01,crypto,France,mobile,0,14,0
U1825,U832,87.56,2025-01-01,online_payment,Cayman Islands,mobile,1,15,0
U1111,U1907,2252.73,2025-01-01,cash_deposit,Switzerland,desktop,0,4,0
U790,U61,1071.23,2025-01-01,cash_deposit,Cayman Islands,ATM,1,22,0
U331,U524,265.0,2025-01-01,wire_transfer,Germany,desktop,0,16,0
U868,U1364,1089.14,2025-01-01,cash_deposit,Switzerland,mobile,0,21,0
U1688,U52,431.92,2025-01-01,wire_transfer,India,mobile,0,7,0
U1578,U2030,1074.2,2025-01-01,online_payment,UK,mobile,0,11,0
U2767,U1831,970.12,2025-01-01,wire_transfer,US,mobile,0,6,0
U398,U1627,2681.81,2025-01-01,online_payment,Cayman Islands,ATM,0,12,0
U728,U138,2976.35,2025-01-01,online_payment,US,ATM,1,14,0
U2791,U2355,1868.04,2025-01-01,cash_deposit,UK,desktop,0,22,0
U256,U1647,45.9,2025-01-01,cash_deposit,Cayman Islands,desktop,1,21,0
U1814,U1436,5347.94,2025-01-01,cash_deposit,India,ATM,0,20,0
U1543,U172,2318.21,2025-01-01,online_payment,UK,desktop,0,23,0
U327,U1452,69.59,2025-01-01,online_payment,Switzerland,mobile,1,5,0
U1865,U2436,3416.67,2025-01-01,cash_deposit,India,ATM,0,1,0
U1200,U220,446.95,2025-01-01,online_payment,India,ATM,1,2,0
U45,U585,1731.3,2025-01-01,online_payment,US,desktop,0,21,0
U2341,U1564,1257.1,2025-01-01,cash_deposit,UK,mobile,1,15,0
U2666,U1057,1088.9,2025-01-01,cash_deposit,India,mobile,0,7,0
U1558,U348,4409.35,2025-01-01,online_payment,US,desktop,1,18,0
U2534,U479,1150.24,2025-01-01,wire_transfer,US,mobile,0,2,0
U589,U2206,156.67,2025-01-01,crypto,Dubai,mobile,0,11,0
U2979,U1671,5861.34,2025-01-01,crypto,US,mobile,0,11,0
U1656,U527,5064.88,2025-01-01,wire_transfer,India,mobile,1,1,0
U233,U1368,2306.77,2025-01-01,cash_deposit,UK,mobile,0,12,0
U1300,U2155,1261.82,2025-01-01,online_payment,UK,mobile,0,11,0
U219,U449,194.92,2025-01-01,crypto,Germany,ATM,0,4,0
U1978,U329,3128.43,2025-01-01,crypto,Germany,mobile,0,9,0
U1571,U1577,156.96,2025-01-01,wire_transfer,Germany,ATM,1,7,0
U305,U293,142.14,2025-01-01,cash_deposit,Switzerland,ATM,1,3,0
U2937,U1929,1541.72,2025-01-01,wire_transfer,Switzerland,mobile,1,15,0
U2284,U533,349.01,2025-01-01,wire_transfer,India,desktop,1,14,0
U1152,U2935,15.52,2025-01-01,online_payment,Cayman Islands,mobile,0,12,0
U501,U2701,1100.22,2025-01-01,cash_deposit,Switzerland,mobile,1,2,0
U976,U1250,295.18,2025-01-01,online_payment,UK,desktop,1,20,0
U382,U2702,349.93,2025-01-01,crypto,Dubai,ATM,1,14,0
U1207,U1029,160.06,2025-01-01,cash_deposit,Dubai,mobile,1,17,0
U1744,U2700,459.06,2025-01-01,crypto,Switzerland,desktop,0,3,0
U1960,U2475,2513.93,2025-01-01,online_payment,France,ATM,0,2,0
U1990,U2445,3310.2,2025-01-01,crypto,France,ATM,0,8,0
U72,U2746,1204.91,2025-01-01,crypto,Cayman Islands,ATM,1,5,0
U1674,U865,1412.68,2025-01-01,wire_transfer,Switzerland,ATM,0,14,0
U971,U523,66.4,2025-01-01,wire_transfer,US,ATM,1,7,0
U1943,U1846,143.67,2025-01-01,cash_deposit,Germany,ATM,1,9,0
U1001,U1305,595.65,2025-01-01,online_payment,India,ATM,0,15,0
U2059,U2340,1570.08,2025-01-01,cash_deposit,US,desktop,0,14,0
U2352,U898,2690.7,2025-01-01,wire_transfer,Cayman Islands,desktop,1,9,0
U952,U2249,1857.75,2025-01-01,online_payment,France,mobile,1,22,0
U1537,U658,995.58,2025-01-01,crypto,India,ATM,1,8,0
U1110,U514,251.86,2025-01-01,online_payment,Germany,mobile,0,3,0
U2991,U2572,3035.3,2025-01-01,crypto,US,desktop,0,0,0
U2614,U1370,904.44,2025-01-01,wire_transfer,Germany,ATM,1,16,0
U1702,U2520,2664.02,2025-01-01,crypto,Cayman Islands,mobile,1,19,0
U1469,U803,1438.9,2025-01-01,online_payment,India,mobile,0,11,0
U652,U1798,2683.88,2025-01-01,wire_transfer,France,ATM,0,0,0
U818,U1719,4756.55,2025-01-01,wire_transfer,France,desktop,0,12,0
U909,U2356,5077.36,2025-01-01,crypto,India,ATM,0,9,0
U2230,U339,1531.9,2025-01-01,crypto,US,mobile,1,8,0
U360,U919,1432.87,2025-01-01,cash_deposit,Germany,desktop,0,5,0
U2084,U2361,617.62,2025-01-01,wire_transfer,US,ATM,1,1,0
U142,U130,5491.5,2025-01-01,wire_transfer,Dubai,desktop,1,14,0
U2437,U1215,1224.68,2025-01-01,wire_transfer,US,desktop,0,6,0
U414,U2405,272.99,2025-01-01,online_payment,UK,mobile,0,23,0
U1868,U2683,1133.75,2025-01-01,wire_transfer,Dubai,ATM,0,4,0
U958,U2104,271.76,2025-01-01,cash_deposit,Cayman Islands,desktop,1,13,0
U2687,U2072,1396.45,2025-01-01,cash_deposit,Dubai,desktop,1,10,0
U134,U2828,1647.77,2025-01-01,online_payment,France,desktop,1,14,0
U33,U2392,824.24,2025-01-01,cash_deposit,India,desktop,0,15,0
U1074,U213,148.69,2025-01-01,online_payment,Switzerland,desktop,1,9,0
U1178,U479,5747.15,2025-01-01,wire_transfer,Switzerland,mobile,0,1,0
U2100,U2599,2968.72,2025-01-01,cash_deposit,UK,ATM,0,4,0
U605,U149,3651.23,2025-01-01,crypto,Dubai,ATM,1,14,0
U850,U2788,914.15,2025-01-01,cash_deposit,Germany,ATM,0,16,0
U1258,U1558,2861.17,2025-01-01,wire_transfer,Germany,mobile,0,18,0
U444,U2062,1328.63,2025-01-01,crypto,India,ATM,1,21,0
U2977,U396,449.0,2025-01-01,cash_deposit,US,ATM,1,11,0
U960,U1211,265.75,2025-01-01,wire_transfer,Germany,ATM,0,12,0
U1580,U2032,846.4,2025-01-01,crypto,UK,desktop,1,17,0
U2610,U1419,295.96,2025-01-01,wire_transfer,India,mobile,1,8,0
U1168,U978,12718.08,2025-01-01,wire_transfer,Dubai,ATM,1,8,0
U556,U918,100.88,2025-01-01,online_payment,Germany,ATM,0,3,0
U2930,U2291,1163.73,2025-01-01,online_payment,US,desktop,0,16,0
U1043,U1448,1203.3,2025-01-01,crypto,UK,mobile,1,16,0
U1860,U174,715.16,2025-01-01,online_payment,UK,ATM,1,17,0
U2871,U432,1694.24,2025-01-01,crypto,Germany,ATM,0,20,0
U26,U2994,324.98,2025-01-01,online_payment,US,desktop,1,20,0
U407,U1417,3064.14,2025-01-01,crypto,Cayman Islands,mobile,0,16,0
U276,U1148,808.28,2025-01-01,online_payment,Switzerland,desktop,1,6,0
U985,U2995,1789.76,2025-01-01,online_payment,UK,ATM,1,18,0
U1924,U2993,2515.02,2025-01-01,cash_deposit,France,mobile,0,9,0
U851,U1116,4397.21,2025-01-01,wire_transfer,UK,ATM,0,20,0
U1486,U2638,3613.19,2025-01-01,wire_transfer,India,ATM,1,23,0
U2823,U1025,1874.56,2025-01-01,wire_transfer,Germany,mobile,1,20,0
U2055,U980,983.33,2025-01-01,wire_transfer,Germany,ATM,0,0,0
U1239,U2123,1399.15,2025-01-01,online_payment,Germany,ATM,1,9,0
U2727,U920,2928.38,2025-01-01,cash_deposit,France,ATM,1,17,0
U1598,U552,4200.03,2025-01-01,wire_transfer,France,ATM,0,17,0
U2621,U1107,219.14,2025-01-01,wire_transfer,US,ATM,1,3,0
U2602,U1823,971.8,2025-01-01,wire_transfer,Switzerland,desktop,1,9,0
U288,U2019,2993.26,2025-01-01,crypto,Germany,mobile,1,20,0
