GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200307,west,,,,,45.9,45.86183,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,46.3,46.27707,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,KEN,Kenya,,,,,NHLM,None,,,,,,,,,,,,,,,,,46.5,46.49265,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,RUR,Rural,,,,,,,,,,,49.5,49.52845,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200306,rift valley,,,,,49.9,49.90915,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,50.3,50.32272,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200304,east,,,,,55.3,55.27485,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,KEN,Kenya,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,56.1,56.10166,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200806,rift valley,,,,,56.7,56.74875,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS199303,coast,,,,,56.9,56.87191,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,AFR,1998,1998,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS199806,rift valley,,,,,57.5,57.52777,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200803,coast,,,,,58.6,58.64348,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS200804,east,,,,,59.4,59.37982,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,KEN,Kenya,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,63.3,63.26296,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS199301,nairobi,,,,,64.9,64.87486,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,65.5,65.52752,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,KEN,Kenya,,,,,,,,,,,,,,,,,KENDHS201405,rift valley,,,,,66.0,66.02001,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,KEN,Kenya,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,66.7,66.70024,,,,,
