GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1991,1991,,AFR,Africa,,TCD,1991,1991,Chad,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,20.3 [18.7-22.0],20.30000,18.70000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1992,1992,,AFR,Africa,,TCD,1992,1992,Chad,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,20.4 [18.7-22.0],20.40000,18.70000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993,1993,,AFR,Africa,,TCD,1993,1993,Chad,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,20.4 [18.8-22.0],20.40000,18.80000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,AFR,Africa,,TCD,1994,1994,Chad,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,20.4 [18.8-22.0],20.40000,18.80000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,19.2 [17.0-21.4],19.20000,17.00000,21.40000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993,1993,,AFR,Africa,,TCD,1993,1993,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,20.2 [19.3-21.1],20.20000,19.30000,21.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,AFR,Africa,,TCD,1994,1994,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,20.3 [19.4-21.2],20.30000,19.40000,21.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995,1995,,AFR,Africa,,TCD,1995,1995,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,20.4 [19.6-21.2],20.40000,19.60000,21.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,AFR,Africa,,TCD,1996,1996,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,20.5 [19.7-21.2],20.50000,19.70000,21.20000,,,
