Solicitation Number,Marketing Agent,Date of Solicitation,Month of Solicitation,Mode of Solicitation,Made Purchase?,Purchase ($),Legacy Customer?
20647,Sanchez,Sep-27,Sep,Meeting,NO,,Legacy
18168,Lydon,Sep-11,Sep,Meeting,NO,,Not Legacy
24464,Sanchez,Nov-24,Nov,Meeting,NO,,Not Legacy
18360,Shalley,Sep-09,Sep,Telephone,YES,"$6,400",Not Legacy
19114,Shalley,Dec-01,Dec,Meeting,NO,,Not Legacy
3389,Nguyen,May-20,May,Telephone,NO,,Not Legacy
6238,Nguyen,Mar-16,Mar,email,NO,,Not Legacy
18388,Sanchez,Jul-26,Jul,email,NO,,Not Legacy
22056,Lydon,Mar-27,Mar,Telephone,NO,,Not Legacy
15960,Shalley,Dec-17,Dec,Meeting,YES,"$1,800",Not Legacy
14450,Nguyen,Nov-09,Nov,Meeting,YES,"$8,000",Not Legacy
12797,Nguyen,Jun-30,Jun,Meeting,YES,"$4,800",Legacy
18945,Nguyen,Nov-27,Nov,Telephone,NO,,Not Legacy
13747,Shalley,Nov-29,Nov,email,NO,,Legacy
12070,Sanchez,May-21,May,email,NO,,Not Legacy
4119,Nguyen,Feb-26,Feb,Meeting,NO,,Not Legacy
13212,Nguyen,Nov-18,Nov,Meeting,YES,"$1,600",Not Legacy
9519,Nguyen,Dec-03,Dec,email,NO,,Not Legacy
19021,Nguyen,Jul-07,Jul,Meeting,NO,,Not Legacy
4738,Lydon,Nov-13,Nov,email,NO,,Not Legacy
9139,Sanchez,Mar-01,Mar,email,NO,,Not Legacy
20857,Shalley,Jan-12,Jan,email,NO,,Not Legacy
10377,Nguyen,Oct-24,Oct,email,NO,,Legacy
3146,Nguyen,Apr-26,Apr,Telephone,NO,,Not Legacy
14611,Nguyen,Aug-26,Aug,Meeting,NO,,Not Legacy
7336,Shalley,Jul-09,Jul,Meeting,NO,,Not Legacy
7866,Shalley,Jan-25,Jan,email,NO,,Not Legacy
1547,Lydon,Jul-20,Jul,Meeting,NO,,Not Legacy
5363,Nguyen,Feb-02,Feb,email,NO,,Not Legacy
17306,Sanchez,Sep-25,Sep,email,NO,,Not Legacy
21413,Nguyen,Jun-13,Jun,Telephone,NO,,Not Legacy
15664,Sanchez,Apr-29,Apr,email,NO,,Not Legacy
20233,Shalley,Jul-06,Jul,Meeting,YES,"$6,200",Not Legacy
8205,Lydon,Nov-09,Nov,Telephone,NO,,Not Legacy
7094,Sanchez,Apr-20,Apr,Meeting,YES,"$6,600",Not Legacy
24372,Nguyen,Sep-29,Sep,Telephone,NO,,Not Legacy
15036,Sanchez,May-22,May,email,NO,,Not Legacy
9642,Nguyen,May-13,May,email,NO,,Not Legacy
19365,Shalley,Feb-11,Feb,email,NO,,Not Legacy
17318,Lydon,Nov-18,Nov,Meeting,NO,,Not Legacy
20140,Lydon,Mar-28,Mar,email,NO,,Not Legacy
16776,Nguyen,Mar-12,Mar,Telephone,NO,,Not Legacy
3420,Shalley,Nov-27,Nov,Meeting,NO,,Not Legacy
10734,Nguyen,Sep-30,Sep,email,NO,,Not Legacy
7178,Lydon,Jan-06,Jan,Telephone,NO,,Not Legacy
7649,Shalley,May-27,May,Meeting,YES,"$1,200",Not Legacy
15602,Nguyen,Jan-23,Jan,Meeting,NO,,Legacy
